"RentStation","ReturnStation","Riderships","Date"
2,350,4,2019-11-15
2,350,3,2019-11-13
2,357,2,2019-11-11
2,357,6,2019-11-15
2,357,1,2019-11-13
2,359,2,2019-11-11
2,359,6,2019-11-15
2,359,3,2019-11-13
2,363,2,2019-11-11
2,363,2,2019-11-15
2,364,2,2019-11-11
2,364,2,2019-11-15
2,364,5,2019-11-13
2,373,6,2019-11-11
2,373,2,2019-11-15
2,373,4,2019-11-13
2,379,6,2019-11-11
2,379,4,2019-11-15
2,379,2,2019-11-13
2,384,2,2019-11-11
2,384,2,2019-11-15
2,384,1,2019-11-13
2,386,2,2019-11-11
2,387,8,2019-11-11
2,387,6,2019-11-15
2,387,3,2019-11-13
2,389,2,2019-11-11
2,389,1,2019-11-13
2,391,1,2019-11-13
2,392,12,2019-11-11
2,392,10,2019-11-15
2,392,5,2019-11-13
2,394,2,2019-11-11
2,396,1,2019-11-13
2,399,6,2019-11-11
2,399,2,2019-11-15
2,399,1,2019-11-13
2,400,2,2019-11-11
2,400,4,2019-11-15
2,401,2,2019-11-11
2,1001,2,2019-11-15
2,1007,2,2019-11-11
2,1007,2,2019-11-15
2,1007,2,2019-11-13
2,1011,2,2019-11-11
2,1024,2,2019-11-11
2,1036,2,2019-11-11
2,1041,2,2019-11-11
2,1041,1,2019-11-13
2,1065,2,2019-11-11
2,1093,2,2019-11-11
2,1189,2,2019-11-11
2,1197,2,2019-11-11
2,1227,1,2019-11-13
2,1309,2,2019-11-15
2,1331,1,2019-11-13
2,1446,2,2019-11-11
2,1668,2,2019-11-11
3,1,12,2019-11-11
3,1,4,2019-11-15
3,1,6,2019-11-13
3,2,10,2019-11-11
3,2,14,2019-11-15
3,2,8,2019-11-13
3,3,44,2019-11-11
3,3,24,2019-11-15
3,3,9,2019-11-13
3,4,2,2019-11-11
3,5,8,2019-11-11
3,5,4,2019-11-15
3,6,20,2019-11-11
3,6,24,2019-11-15
3,6,11,2019-11-13
3,7,34,2019-11-11
3,7,16,2019-11-15
3,7,8,2019-11-13
3,8,10,2019-11-11
3,8,4,2019-11-15
3,8,2,2019-11-13
3,9,14,2019-11-11
3,9,12,2019-11-15
3,9,7,2019-11-13
3,10,28,2019-11-11
3,10,38,2019-11-15
3,10,17,2019-11-13
3,11,10,2019-11-11
3,11,8,2019-11-15
3,11,4,2019-11-13
3,12,10,2019-11-11
3,12,10,2019-11-15
3,12,4,2019-11-13
3,13,2,2019-11-11
3,13,2,2019-11-15
3,13,1,2019-11-13
3,15,4,2019-11-11
3,15,4,2019-11-15
3,15,1,2019-11-13
3,16,2,2019-11-11
3,16,2,2019-11-15
3,16,2,2019-11-13
3,17,2,2019-11-15
3,18,8,2019-11-11
3,18,2,2019-11-15
3,19,8,2019-11-11
3,19,8,2019-11-15
3,19,4,2019-11-13
3,20,2,2019-11-11
3,21,2,2019-11-11
3,21,2,2019-11-15
3,21,1,2019-11-13
3,22,6,2019-11-11
3,22,10,2019-11-15
3,22,2,2019-11-13
3,24,2,2019-11-11
3,25,14,2019-11-11
3,25,10,2019-11-15
3,25,7,2019-11-13
3,26,1,2019-11-13
3,28,2,2019-11-11
3,28,2,2019-11-15
3,30,2,2019-11-11
3,31,2,2019-11-15
3,32,8,2019-11-11
3,32,4,2019-11-15
3,33,4,2019-11-11
3,33,4,2019-11-15
3,33,1,2019-11-13
3,35,2,2019-11-11
3,37,2,2019-11-11
3,38,2,2019-11-11
3,42,2,2019-11-11
3,42,2,2019-11-15
3,42,2,2019-11-13
3,45,2,2019-11-15
3,47,6,2019-11-11
3,49,2,2019-11-11
3,49,6,2019-11-15
3,49,1,2019-11-13
3,52,1,2019-11-13
3,53,6,2019-11-11
3,53,2,2019-11-15
3,53,1,2019-11-13
3,55,2,2019-11-11
3,55,8,2019-11-15
3,60,1,2019-11-13
3,62,2,2019-11-15
3,63,4,2019-11-11
3,63,4,2019-11-15
3,63,2,2019-11-13
3,66,2,2019-11-15
3,66,1,2019-11-13
3,67,2,2019-11-11
3,70,30,2019-11-11
3,70,34,2019-11-15
3,70,10,2019-11-13
3,71,20,2019-11-11
3,71,16,2019-11-15
3,71,6,2019-11-13
3,75,16,2019-11-11
3,75,16,2019-11-15
3,75,7,2019-11-13
3,77,2,2019-11-15
3,77,1,2019-11-13
3,81,1,2019-11-13
3,83,2,2019-11-11
3,83,2,2019-11-15
3,85,6,2019-11-11
3,85,4,2019-11-15
3,85,2,2019-11-13
3,87,2,2019-11-13
3,88,6,2019-11-11
3,88,2,2019-11-15
3,88,4,2019-11-13
3,89,1,2019-11-13
3,93,20,2019-11-11
3,93,14,2019-11-15
3,93,9,2019-11-13
3,94,2,2019-11-15
3,102,2,2019-11-11
3,111,1,2019-11-13
3,113,4,2019-11-11
3,113,4,2019-11-15
3,113,2,2019-11-13
3,115,4,2019-11-11
3,115,1,2019-11-13
3,121,2,2019-11-11
3,121,4,2019-11-15
3,126,4,2019-11-11
3,128,2,2019-11-11
3,128,2,2019-11-15
3,128,1,2019-11-13
3,130,2,2019-11-11
3,132,2,2019-11-11
3,138,10,2019-11-11
3,138,10,2019-11-15
3,138,5,2019-11-13
3,140,2,2019-11-15
3,150,8,2019-11-11
3,150,20,2019-11-15
3,150,6,2019-11-13
3,156,2,2019-11-11
3,158,2,2019-11-11
3,163,2,2019-11-11
3,163,2,2019-11-15
3,163,2,2019-11-13
3,172,2,2019-11-11
3,172,4,2019-11-15
3,173,6,2019-11-11
3,173,4,2019-11-15
3,173,2,2019-11-13
3,174,2,2019-11-11
3,174,2,2019-11-15
3,174,1,2019-11-13
3,175,2,2019-11-15
3,176,20,2019-11-11
3,176,14,2019-11-15
3,176,8,2019-11-13
3,179,2,2019-11-11
3,179,2,2019-11-15
3,179,1,2019-11-13
3,183,2,2019-11-11
3,185,2,2019-11-11
3,185,3,2019-11-13
3,187,2,2019-11-11
3,187,10,2019-11-15
3,187,4,2019-11-13
3,195,2,2019-11-11
3,195,2,2019-11-15
3,195,1,2019-11-13
3,197,2,2019-11-11
3,214,2,2019-11-15
3,215,2,2019-11-11
3,215,2,2019-11-15
3,218,4,2019-11-11
3,218,2,2019-11-15
3,218,1,2019-11-13
3,221,2,2019-11-11
3,221,8,2019-11-15
3,221,1,2019-11-13
3,225,2,2019-11-11
3,225,4,2019-11-15
3,231,8,2019-11-11
3,231,4,2019-11-15
3,231,1,2019-11-13
3,235,6,2019-11-11
3,235,1,2019-11-13
3,239,1,2019-11-13
3,240,2,2019-11-15
3,241,6,2019-11-11
3,241,2,2019-11-15
3,243,2,2019-11-15
3,244,24,2019-11-11
3,244,8,2019-11-15
3,244,6,2019-11-13
3,245,1,2019-11-13
3,248,8,2019-11-11
3,248,2,2019-11-15
3,248,1,2019-11-13
3,252,2,2019-11-11
3,255,10,2019-11-11
3,255,2,2019-11-15
3,255,5,2019-11-13
3,259,10,2019-11-11
3,259,16,2019-11-15
3,261,2,2019-11-15
3,267,2,2019-11-15
3,267,1,2019-11-13
3,271,4,2019-11-11
3,271,4,2019-11-15
3,276,2,2019-11-11
3,276,6,2019-11-15
3,276,5,2019-11-13
3,281,1,2019-11-13
3,282,2,2019-11-11
3,282,2,2019-11-15
3,282,3,2019-11-13
3,291,6,2019-11-11
3,291,2,2019-11-15
3,291,2,2019-11-13
3,292,2,2019-11-11
3,294,60,2019-11-11
3,294,62,2019-11-15
3,294,30,2019-11-13
3,298,1,2019-11-13
3,300,12,2019-11-11
3,300,6,2019-11-15
3,300,3,2019-11-13
3,306,2,2019-11-11
3,307,6,2019-11-11
3,307,2,2019-11-15
3,308,1,2019-11-13
3,309,2,2019-11-11
3,310,14,2019-11-11
3,310,8,2019-11-15
3,310,2,2019-11-13
3,311,6,2019-11-11
3,312,6,2019-11-11
3,312,8,2019-11-15
3,312,1,2019-11-13
3,313,4,2019-11-11
3,313,4,2019-11-15
3,314,2,2019-11-11
3,314,2,2019-11-15
3,314,2,2019-11-13
3,315,2,2019-11-11
3,315,1,2019-11-13
3,316,1,2019-11-13
3,320,2,2019-11-11
3,320,4,2019-11-15
3,320,1,2019-11-13
3,326,4,2019-11-11
3,326,10,2019-11-15
3,326,2,2019-11-13
3,328,1,2019-11-13
3,332,2,2019-11-11
3,332,2,2019-11-13
3,333,2,2019-11-11
3,334,6,2019-11-11
3,334,2,2019-11-15
3,334,2,2019-11-13
3,340,2,2019-11-11
3,340,2,2019-11-13
3,344,2,2019-11-15
3,344,1,2019-11-13
3,348,2,2019-11-11
3,349,2,2019-11-11
3,357,6,2019-11-11
3,357,6,2019-11-15
3,357,3,2019-11-13
3,359,2,2019-11-11
3,359,2,2019-11-15
3,360,1,2019-11-13
3,362,2,2019-11-11
3,364,2,2019-11-11
3,373,1,2019-11-13
3,376,2,2019-11-11
3,379,2,2019-11-11
3,384,2,2019-11-11
3,384,2,2019-11-15
3,384,1,2019-11-13
3,387,10,2019-11-11
3,387,12,2019-11-15
3,387,6,2019-11-13
3,389,4,2019-11-11
3,389,4,2019-11-15
3,389,3,2019-11-13
3,392,2,2019-11-11
3,392,8,2019-11-15
3,392,3,2019-11-13
3,394,8,2019-11-11
3,394,6,2019-11-15
3,394,3,2019-11-13
3,395,2,2019-11-11
3,395,10,2019-11-15
3,395,2,2019-11-13
3,400,2,2019-11-15
3,401,1,2019-11-13
